WalkerID, PositionX, PositionY, PositionZ, Collisions, XIRate, log10(XIRate)
210, 10, 1, 3, 9928, 0.2482, 0.868494
211, 11, 1, 3, 10194, 0.25485, 0.870989
212, 12, 1, 3, 9991, 0.249775, 0.869091
213, 13, 1, 3, 10268, 0.2567, 0.871672
214, 3, 2, 3, 14477, 0.361925, 0.90409
215, 4, 2, 3, 14294, 0.35735, 0.90289
216, 10, 2, 3, 9954, 0.24885, 0.868741
217, 11, 2, 3, 9907, 0.247675, 0.868294
218, 12, 2, 3, 10243, 0.256075, 0.871442
219, 13, 2, 3, 9944, 0.2486, 0.868646
220, 3, 3, 3, 14617, 0.365425, 0.904999
221, 4, 3, 3, 14547, 0.363675, 0.904546
222, 10, 3, 3, 10132, 0.2533, 0.870414
223, 11, 3, 3, 10027, 0.250675, 0.86943
224, 12, 3, 3, 9984, 0.2496, 0.869025
225, 13, 3, 3, 10037, 0.250925, 0.869525
226, 3, 4, 3, 14397, 0.359925, 0.903568
227, 4, 4, 3, 14454, 0.36135, 0.90394
228, 10, 4, 3, 10106, 0.25265, 0.870171
229, 11, 4, 3, 10273, 0.256825, 0.871718
230, 12, 4, 3, 10026, 0.25065, 0.869421
231, 13, 4, 3, 10322, 0.25805, 0.872167
232, 1, 7, 3, 5662, 0.14155, 0.815498
233, 2, 7, 3, 5664, 0.1416, 0.815531
234, 3, 7, 3, 5630, 0.14075, 0.814963
235, 4, 7, 3, 5689, 0.142225, 0.815947
236, 5, 7, 3, 5654, 0.14135, 0.815364
237, 6, 7, 3, 5727, 0.143175, 0.816575
238, 7, 7, 3, 5822, 0.14555, 0.818128
239, 12, 7, 3, 13355, 0.333875, 0.896478
240, 13, 7, 3, 13283, 0.332075, 0.895967
241, 14, 7, 3, 13218, 0.33045, 0.895505
242, 15, 7, 3, 13299, 0.332475, 0.896081
243, 1, 8, 3, 5476, 0.1369, 0.812346
244, 2, 8, 3, 5480, 0.137, 0.812415
245, 3, 8, 3, 5770, 0.14425, 0.817281
246, 4, 8, 3, 5675, 0.141875, 0.815714
247, 5, 8, 3, 5679, 0.141975, 0.815781
248, 6, 8, 3, 5370, 0.13425, 0.810501
249, 7, 8, 3, 5762, 0.14405, 0.81715
250, 12, 8, 3, 13374, 0.33435, 0.896612
251, 13, 8, 3, 13224, 0.3306, 0.895547
252, 14, 8, 3, 13245, 0.331125, 0.895697
253, 15, 8, 3, 13272, 0.3318, 0.895889
254, 1, 9, 3, 5649, 0.141225, 0.815281
255, 2, 9, 3, 5608, 0.1402, 0.814593
256, 3, 9, 3, 5625, 0.140625, 0.814879
257, 4, 9, 3, 5514, 0.13785, 0.812998
258, 5, 9, 3, 5795, 0.144875, 0.817689
259, 6, 9, 3, 5770, 0.14425, 0.817281
260, 7, 9, 3, 5438, 0.13595, 0.811689
261, 12, 9, 3, 13283, 0.332075, 0.895967
262, 13, 9, 3, 13500, 0.3375, 0.897497
263, 14, 9, 3, 13295, 0.332375, 0.896053
264, 15, 9, 3, 13420, 0.3355, 0.896936
265, 1, 10, 3, 5449, 0.136225, 0.811879
266, 2, 10, 3, 5678, 0.14195, 0.815764
267, 3, 10, 3, 5654, 0.14135, 0.815364
268, 4, 10, 3, 5562, 0.13905, 0.813816
269, 5, 10, 3, 5581, 0.139525, 0.814138
270, 6, 10, 3, 5588, 0.1397, 0.814256
271, 7, 10, 3, 5467, 0.136675, 0.81219
272, 12, 10, 3, 13188, 0.3297, 0.89529
273, 13, 10, 3, 13417, 0.335425, 0.896915
274, 14, 10, 3, 13327, 0.333175, 0.89628
275, 15, 10, 3, 13309, 0.332725, 0.896152
276, 1, 11, 3, 5313, 0.132825, 0.809494
277, 2, 11, 3, 5508, 0.1377, 0.812896
278, 3, 11, 3, 5656, 0.1414, 0.815398
279, 4, 11, 3, 5606, 0.14015, 0.81456
280, 5, 11, 3, 5576, 0.1394, 0.814053
281, 6, 11, 3, 5485, 0.137125, 0.812501
282, 7, 11, 3, 5524, 0.1381, 0.813169
283, 1, 12, 3, 5908, 0.1477, 0.819511
284, 2, 12, 3, 5667, 0.141675, 0.815581
285, 3, 12, 3, 5572, 0.1393, 0.813986
286, 4, 12, 3, 5621, 0.140525, 0.814812
287, 5, 12, 3, 5660, 0.1415, 0.815464
288, 6, 12, 3, 5721, 0.143025, 0.816476
289, 7, 12, 3, 5817, 0.145425, 0.818046
290, 11, 14, 3, 11160, 0.279, 0.879533
291, 12, 14, 3, 11066, 0.27665, 0.878735
292, 13, 14, 3, 11093, 0.277325, 0.878965
293, 11, 15, 3, 11099, 0.277475, 0.879016
294, 12, 15, 3, 11077, 0.276925, 0.878829
295, 13, 15, 3, 11186, 0.27965, 0.879753
296, 11, 16, 3, 11261, 0.281525, 0.880383
297, 12, 16, 3, 10969, 0.274225, 0.877904
298, 13, 16, 3, 11179, 0.279475, 0.879694
299, 11, 17, 3, 11166, 0.27915, 0.879584
300, 12, 17, 3, 10986, 0.27465, 0.87805
301, 13, 17, 3, 11076, 0.2769, 0.87882
302, 3, 1, 4, 14478, 0.36195, 0.904097
303, 4, 1, 4, 14457, 0.361425, 0.90396
304, 10, 1, 4, 9874, 0.24685, 0.867979
305, 11, 1, 4, 9882, 0.24705, 0.868056
306, 12, 1, 4, 9914, 0.24785, 0.868361
307, 13, 1, 4, 10051, 0.251275, 0.869656
308, 16, 1, 4, 14442, 0.36105, 0.903862
309, 17, 1, 4, 14404, 0.3601, 0.903613
310, 18, 1, 4, 14508, 0.3627, 0.904292
311, 3, 2, 4, 14432, 0.3608, 0.903797
312, 4, 2, 4, 14423, 0.360575, 0.903738
313, 10, 2, 4, 10060, 0.2515, 0.869741
314, 11, 2, 4, 10192, 0.2548, 0.870971
315, 12, 2, 4, 9810, 0.24525, 0.867366
316, 13, 2, 4, 9894, 0.24735, 0.86817
317, 16, 2, 4, 14667, 0.366675, 0.905321
318, 17, 2, 4, 14527, 0.363175, 0.904416
319, 18, 2, 4, 14399, 0.359975, 0.903581
320, 3, 3, 4, 14344, 0.3586, 0.903219
321, 4, 3, 4, 14510, 0.36275, 0.904305
322, 10, 3, 4, 9880, 0.247, 0.868037
323, 11, 3, 4, 10000, 0.25, 0.869176
324, 12, 3, 4, 10112, 0.2528, 0.870227
325, 13, 3, 4, 9892, 0.2473, 0.868151
326, 16, 3, 4, 14803, 0.370075, 0.906192
327, 17, 3, 4, 14182, 0.35455, 0.902148
328, 18, 3, 4, 14415, 0.360375, 0.903685
329, 3, 4, 4, 14518, 0.36295, 0.904357
330, 4, 4, 4, 14354, 0.35885, 0.903285
331, 10, 4, 4, 10018, 0.25045, 0.869346
332, 11, 4, 4, 9926, 0.24815, 0.868475
333, 12, 4, 4, 9888, 0.2472, 0.868113
334, 13, 4, 4, 10070, 0.25175, 0.869834
335, 16, 4, 4, 14402, 0.36005, 0.9036
336, 17, 4, 4, 14278, 0.35695, 0.902784
337, 18, 4, 4, 14420, 0.3605, 0.903718
338, 1, 7, 4, 5586, 0.13965, 0.814223
339, 2, 7, 4, 5730, 0.14325, 0.816624
340, 3, 7, 4, 5777, 0.144425, 0.817395
341, 4, 7, 4, 5577, 0.139425, 0.81407
342, 5, 7, 4, 5539, 0.138475, 0.813425
343, 6, 7, 4, 5680, 0.142, 0.815797
344, 7, 7, 4, 5567, 0.139175, 0.813901
345, 12, 7, 4, 13345, 0.333625, 0.896407
346, 13, 7, 4, 13531, 0.338275, 0.897713
347, 14, 7, 4, 13192, 0.3298, 0.895319
348, 15, 7, 4, 13275, 0.331875, 0.895911
349, 1, 8, 4, 5591, 0.139775, 0.814307
350, 2, 8, 4, 5676, 0.1419, 0.815731
351, 3, 8, 4, 5560, 0.139, 0.813782
352, 4, 8, 4, 5381, 0.134525, 0.810694
353, 5, 8, 4, 5756, 0.1439, 0.817052
354, 6, 8, 4, 5668, 0.1417, 0.815598
355, 7, 8, 4, 5588, 0.1397, 0.814256
356, 12, 8, 4, 13200, 0.33, 0.895376
357, 13, 8, 4, 13273, 0.331825, 0.895896
358, 14, 8, 4, 13207, 0.330175, 0.895426
359, 15, 8, 4, 13484, 0.3371, 0.897385
360, 1, 9, 4, 5704, 0.1426, 0.816195
361, 2, 9, 4, 5759, 0.143975, 0.817101
362, 3, 9, 4, 5597, 0.139925, 0.814408
363, 4, 9, 4, 5752, 0.1438, 0.816986
364, 5, 9, 4, 5407, 0.135175, 0.811149
365, 6, 9, 4, 5855, 0.146375, 0.818661
366, 7, 9, 4, 5689, 0.142225, 0.815947
367, 12, 9, 4, 13411, 0.335275, 0.896873
368, 13, 9, 4, 13221, 0.330525, 0.895526
369, 14, 9, 4, 13464, 0.3366, 0.897245
370, 15, 9, 4, 13266, 0.33165, 0.895847
371, 1, 10, 4, 5595, 0.139875, 0.814374
372, 2, 10, 4, 5694, 0.14235, 0.81603
373, 3, 10, 4, 5822, 0.14555, 0.818128
374, 4, 10, 4, 5653, 0.141325, 0.815348
375, 5, 10, 4, 5427, 0.135675, 0.811497
376, 6, 10, 4, 5443, 0.136075, 0.811775
377, 7, 10, 4, 5585, 0.139625, 0.814206
378, 12, 10, 4, 13502, 0.33755, 0.897511
379, 13, 10, 4, 13488, 0.3372, 0.897413
380, 14, 10, 4, 13163, 0.329075, 0.895111
381, 15, 10, 4, 13190, 0.32975, 0.895304
382, 1, 11, 4, 5581, 0.139525, 0.814138
383, 2, 11, 4, 5456, 0.1364, 0.812
384, 3, 11, 4, 5684, 0.1421, 0.815864
385, 4, 11, 4, 5558, 0.13895, 0.813748
386, 5, 11, 4, 5762, 0.14405, 0.81715
387, 6, 11, 4, 5746, 0.14365, 0.816888
388, 7, 11, 4, 5670, 0.14175, 0.815631
389, 1, 12, 4, 5509, 0.137725, 0.812913
390, 2, 12, 4, 5788, 0.1447, 0.817575
